index,date,prik,home_team,away_team,Vinder,Taber,Ude/hjemme,Resultat,home_score,away_score,tournament,city,country,neutral,Note,home_flag,away_flag,uuid
0,1918-10-06,1,Denmark,Norway,Denmark,Norway,Hjemme,4-0,4,0,Friendly,Copenhagen,Denmark,False,Venskabskamp,dk,no,50011be9-4810-44c2-853b-f360e2458eb3
1,1950-06-22,1,Denmark,Norway,Denmark,Norway,Hjemme,4-0,4,0,Nordic Championship,Copenhagen,Denmark,False,Danmark bliver nummer 2 - et point over Norge. Kampen var medvirkende til en 2. plads i sidste ende,dk,no,71700cae-3b4f-48fb-abfe-26d75c436645
2,1953-08-09,1,Denmark,Iceland,Denmark,Iceland,Hjemme,4-0,4,0,Friendly,Copenhagen,Denmark,False,Venskabskamp,dk,is,651dde83-e648-4b38-850b-db3ca8a79237
3,1955-07-03,1,Iceland,Denmark,Denmark,Iceland,Ude,0-4,0,4,Friendly,Reykjavík,Iceland,False,Venskabskamp,is,dk,9720624a-0760-436d-b955-3e4fedba6d66
4,1956-09-16,1,Finland,Denmark,Denmark,Finland,Ude,0-4,0,4,Nordic Championship,Helsinki,Finland,False,Danmark bliver nummer 3 - 12 point ned til Finland. Kampen havde ingen effekt. ,fi,dk,f92afbd7-76e5-4fc2-8d8b-bf6b1cd26319
5,1959-10-04,1,Denmark,Finland,Denmark,Finland,Hjemme,4-0,4,0,Nordic Championship,Copenhagen,Denmark,False,Danmark bliver nummer 3 - 12 point ned til Finland. Kampen havde ingen effekt. ,dk,fi,b4f6fb7f-c07e-475e-88ca-b29d6559773a
6,1961-09-17,1,Norway,Denmark,Denmark,Norway,Ude,0-4,0,4,Nordic Championship,Oslo,Norway,False,Danmark bliver nummer 2 - 7 point over Norge. De to 4-0 sejre er med til at sikre andenpladsen,no,dk,1a33b5c5-6d4e-49ab-8903-296b931340b0
7,1963-06-29,1,Denmark,Albania,Denmark,Albania,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,False,Knockout kvalifikation over to kampe. Samlet sejr på 4-1 til DK. Danmark kommer videre til kvatfinalen.,dk,al,7f2dd09c-ca6a-4f53-a402-d1367d72f9aa
8,1963-09-15,1,Norway,Denmark,Denmark,Norway,Ude,0-4,0,4,Nordic Championship,Oslo,Norway,False,Danmark bliver nummer 2 - 7 point over Norge. De to 4-0 sejre er med til at sikre andenpladsen,no,dk,91fa71cf-d21c-40fa-98a6-16b556dfafdf
9,1979-06-06,1,Denmark,Northern Ireland,Denmark,Northern Ireland,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,False,Danmark slutter sidst i gruppen. Sejren havde ingen efekt,dk,gb-nir,9222c971-a0b4-449c-8615-941aa7de1dd8
10,1980-11-19,1,Denmark,Luxembourg,Denmark,Luxembourg,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,Danmark kvalificerer sig ikke. Sejren sikrede dog en 3 plads ud af fem,dk,lu,92726884-577a-44a6-b451-f90d76abc853
11,1989-06-18,1,Denmark,Brazil,Denmark,Brazil,Hjemme,4-0,4,0,Friendly,Copenhagen,Denmark,False,Venskabskamp,dk,br,157711b0-d287-4ae3-8ed9-a63c239cf287
12,1991-09-25,1,Faroe Islands,Denmark,Denmark,Faroe Islands,Ude,0-4,0,4,UEFA Euro qualification,Landskrona,Sweden,True,Danmark ender som 2'er i gruppen. 6 point foran Nordirland. Sejren hadve ingen effekt i gruppen,fo,dk,3068d6cf-5597-4b7f-844a-91944d3d41ce
13,1993-06-02,1,Denmark,Albania,Denmark,Albania,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,Danmark kvalificerer sig ikke. Sejret sikrede tredjepladsen. Tredjepladsen tabt på målscoren,dk,al,e724c62d-27e8-42ad-9f59-f74184f21df9
14,1993-08-25,1,Denmark,Lithuania,Denmark,Lithuania,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,Danmark kvalificerer sig ikke. Sejret sikrede tredjepladsen. Tredjepladsen tabt på målscoren,dk,lt,0405f4ab-9475-4c93-97da-3ac1fca474fa
15,1995-06-07,1,Denmark,Cyprus,Denmark,Cyprus,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,False,Danmark bliver nummer to i gruppen. 6 point foran Belgien. Sejren havde ingen effekt.,dk,cy,691b587b-61d7-4cff-97b9-f2606c480750
16,1997-04-30,1,Denmark,Slovenia,Denmark,Slovenia,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,Danmark kvalifixcerer sig. 2. point foran Kroatien. Kampen medvirkede til i sidste ende.,dk,si,64951f3a-65a8-4113-9882-1c4591de3bf8
17,2006-10-11,1,Liechtenstein,Denmark,Denmark,Liechtenstein,Ude,0-4,0,4,UEFA Euro qualification,Vaduz,Liechtenstein,False,Danmark ender som nummer fire i gruppen. Sejren havde inge effekt.,li,dk,d9cdc14e-0380-4673-9169-c34fb9c58aa1
18,2007-09-12,1,Denmark,Liechtenstein,Denmark,Liechtenstein,Hjemme,4-0,4,0,UEFA Euro qualification,Aarhus,Denmark,False,Danmark ender som nummer fire i gruppen. Sejren havde inge effekt.,dk,li,b7f81bed-7734-48af-9713-3e6e328d4005
