date,prik,home_team,away_team,Vinder,Taber,Ude/hjemme,Resultat,home_score,away_score,tournament,city,country,neutral,Note
1918-10-06,1,Denmark,Norway,Denmark,Norway,Hjemme,4-0,4,0,Friendly,Copenhagen,Denmark,FALSE,Venskabskamp
1950-06-22,1,Denmark,Norway,Denmark,Norway,Hjemme,4-0,4,0,Nordic Championship,Copenhagen,Denmark,FALSE,Danmark bliver nummer 2 - et point over Norge. Kampen var medvirkende til en 2. plads i sidste ende
1953-08-09,1,Denmark,Iceland,Denmark,Iceland,Hjemme,4-0,4,0,Friendly,Copenhagen,Denmark,FALSE,Venskabskamp
1955-07-03,1,Iceland,Denmark,Denmark,Iceland,Ude,0-4,0,4,Friendly,Reykjavík,Iceland,FALSE,Venskabskamp
1956-09-16,1,Finland,Denmark,Denmark,Finland,Ude,0-4,0,4,Nordic Championship,Helsinki,Finland,FALSE,Danmark bliver nummer 3 - 12 point ned til Finland. Kampen havde ingen effekt. 
1959-10-04,1,Denmark,Finland,Denmark,Finland,Hjemme,4-0,4,0,Nordic Championship,Copenhagen,Denmark,FALSE,Danmark bliver nummer 3 - 12 point ned til Finland. Kampen havde ingen effekt. 
1961-09-17,1,Norway,Denmark,Denmark,Norway,Ude,0-4,0,4,Nordic Championship,Oslo,Norway,FALSE,Danmark bliver nummer 2 - 7 point over Norge. De to 4-0 sejre er med til at sikre andenpladsen
1963-06-29,1,Denmark,Albania,Denmark,Albania,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,FALSE,Knockout kvalifikation over to kampe. Samlet sejr på 4-1 til DK. Danmark kommer videre til kvatfinalen.
1963-09-15,1,Norway,Denmark,Denmark,Norway,Ude,0-4,0,4,Nordic Championship,Oslo,Norway,FALSE,Danmark bliver nummer 2 - 7 point over Norge. De to 4-0 sejre er med til at sikre andenpladsen
1979-06-06,1,Denmark,Northern Ireland,Denmark,Northern Ireland,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,FALSE,Danmark slutter sidst i gruppen. Sejren havde ingen efekt
1980-11-19,1,Denmark,Luxembourg,Denmark,Luxembourg,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,Danmark kvalificerer sig ikke. Sejren sikrede dog en 3 plads ud af fem
1989-06-18,1,Denmark,Brazil,Denmark,Brazil,Hjemme,4-0,4,0,Friendly,Copenhagen,Denmark,FALSE,Venskabskamp
1991-09-25,1,Faroe Islands,Denmark,Denmark,Faroe Islands,Ude,0-4,0,4,UEFA Euro qualification,Landskrona,Sweden,TRUE,Danmark ender som 2'er i gruppen. 6 point foran Nordirland. Sejren hadve ingen effekt i gruppen
1993-06-02,1,Denmark,Albania,Denmark,Albania,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,Danmark kvalificerer sig ikke. Sejret sikrede tredjepladsen. Tredjepladsen tabt på målscoren
1993-08-25,1,Denmark,Lithuania,Denmark,Lithuania,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,Danmark kvalificerer sig ikke. Sejret sikrede tredjepladsen. Tredjepladsen tabt på målscoren
1995-06-07,1,Denmark,Cyprus,Denmark,Cyprus,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,FALSE,Danmark bliver nummer to i gruppen. 6 point foran Belgien. Sejren havde ingen effekt.
1997-04-30,1,Denmark,Slovenia,Denmark,Slovenia,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,Danmark kvalifixcerer sig. 2. point foran Kroatien. Kampen medvirkede til i sidste ende.
2006-10-11,1,Liechtenstein,Denmark,Denmark,Liechtenstein,Ude,0-4,0,4,UEFA Euro qualification,Vaduz,Liechtenstein,FALSE,Danmark ender som nummer fire i gruppen. Sejren havde inge effekt.
2007-09-12,1,Denmark,Liechtenstein,Denmark,Liechtenstein,Hjemme,4-0,4,0,UEFA Euro qualification,Aarhus,Denmark,FALSE,Danmark ender som nummer fire i gruppen. Sejren havde inge effekt.
2016-06-07,1,Bulgaria,Denmark,Denmark,Bulgaria,Ude,0-4,0,4,Kirin Cup,Suita,Japan,TRUE,Playoff om 3. plads. Danmark vinder bronze pga sejren
2017-09-01,1,Denmark,Poland,Denmark,Poland,Hjemme,4-0,4,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE,Danmark kvalificerer sig fire point foran nummer tre. Kampen havde ingen direkte effekt.
2019-10-15,1,Denmark,Luxembourg,Denmark,Luxembourg,Hjemme,4-0,4,0,Friendly,Aalborg,Denmark,FALSE,Venskabskamp
2020-10-07,1,Denmark,Faroe Islands,Denmark,Faroe Islands,Hjemme,4-0,4,0,Friendly,Herning,Denmark,FALSE,Venskabskamp
2021-03-31,1,Austria,Denmark,Denmark,Austria,Ude,0-4,0,4,FIFA World Cup qualification,Vienna,Austria,FALSE,Danmark vinder gruppen med fire point. Begge sejre medvirkede tilsammen
2021-06-26,1,Wales,Denmark,Denmark,Wales,Ude,0-4,0,4,UEFA Euro,Amsterdam,Netherlands,TRUE,16. delsfinale - Danmark går videre til kvartfinalen
2021-10-09,1,Moldova,Denmark,Denmark,Moldova,Ude,0-4,0,4,FIFA World Cup qualification,Chișinău,Moldova,FALSE,Danmark vinder gruppen med fire point. Begge sejre medvirkede tilsammen
2023-09-07,1,Denmark,San Marino,Denmark,San Marino,Hjemme,4-0,4,0,UEFA Euro qualification,Copenhagen,Denmark,FALSE,Danmark vinder gruppen med samme point som Slovenien. Sejren havde direkte effekt.
